Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Transit Infrastructure Grants,FL,Jacksonville Transportation Authority,JTA Autonomous Transit Deployment,"$4,096,000.00 ",Rutherford,
Department of Transportation,Transit Infrastructure Grants,FL,Central Florida Regional Transportation Authority (d/b/a LYNX),LYNX Digital Signage Program,"$250,000.00 ",Soto,
Department of Transportation,Transit Infrastructure Grants,GA,Cobb County Board of Commissioners,South Cobb Transit Center,"$1,200,000.00 ",McBath,
Department of Transportation,Transit Infrastructure Grants,GA,Metropolitan Atlanta Rapid Transit Authority,MARTA Securing Rail and Bus Facilities Project,"$400,000.00 ",Scott (GA),
Department of Transportation,Transit Infrastructure Grants,GA,Metropolitan Atlanta Rapid Transit Authority (MARTA),Securing Rail & Bus Facilities,"$250,000.00 ",Williams (GA),
Department of Transportation,Transit Infrastructure Grants,IL,Champaign-Urbana Mass Transit District,Champaign-Urbana  Real  Estate  Procurement  for  Transit  Station Expansion,"$850,000.00 ",Budzinski,
Department of Transportation,Transit Infrastructure Grants,IL,Village of Glen Ellyn,Village  of  Glen  Ellyn  Metra  Station  and  Multimodal  Access  Improvements Project,"$2,000,000.00 ",Casten,
Department of Transportation,Transit Infrastructure Grants,IL,"Pace, the Suburban Bus Division of the Regional Transportation Authority",Pace Harlem Avenue Transit Signal Priority,"$840,000.00 ",Davis (IL),
Department of Transportation,Transit Infrastructure Grants,IL,"Pace, the Suburban Bus Division of the Regional Transportation Authority",Pace North Avenue Transit Signal Priority,"$250,000.00 ",Garcia (IL),
Department of Transportation,Transit Infrastructure Grants,IL,Commuter Rail Division of the RTA d/b/a Metra,Metra’s 91st Street/Beverly Station Improvements Project,"$520,000.00 ",Jackson (IL),
Department of Transportation,Transit Infrastructure Grants,IL,"Pace, the Suburban Bus Division of the Regional Transportation Authority",Pace Pulse bus queue-jump for 95th St/Western Ave,"$530,190.00 ",Jackson (IL),
Department of Transportation,Transit Infrastructure Grants,IL,Chicago Transit Authority,CTARail Station Concession Facilities Improvements,"$1,080,000.00 ",Jackson (IL),
Department of Transportation,Transit Infrastructure Grants,IL,Chicago Transit Authority,79th and Halsted Bus Turnaround Improvement Project,"$2,500,000.00 ",Jackson (IL),
Department of Transportation,Transit Infrastructure Grants,IL,Commuter Rail Division of the RTA d/b/a Metra,Station Displays Across Chicago’s South Side and Suburbs Project,"$250,000.00 ",Kelly (IL),
Department of Transportation,Transit Infrastructure Grants,IL,"Pace, the Suburban Bus Division of the Regional Transportation Authority",Pace Golf Road Transit Signal Priority,"$840,000.00 ",Krishnamoorthi,
Department of Transportation,Transit Infrastructure Grants,IL,Chicago Transit Authority (CTA),Belmont Station Red Line Improvement Prospect,"$500,000.00 ",Quigley,
Department of Transportation,Transit Infrastructure Grants,IL,Chicago Transit Authority,CTA Brown LineRockwell Brown Line,"$1,200,000.00 ",Quigley,
Department of Transportation,Transit Infrastructure Grants,IL,Commuter Rail Division of the RTA d/b/a Metra,Metra’s O’Hare Express Infrastructure Study,"$1,500,000.00 ",Ramirez,
Department of Transportation,Transit Infrastructure Grants,IN,Indianapolis Public Transportation Corporation  (IndyGo),Indygo Fixed Route Fleet Replacement,"$1,200,000.00 ",Carson,
Department of Transportation,Transit Infrastructure Grants,KY,Transit Authority of River City,Paratransit Vehicle Replacement,"$850,000.00 ",McGarvey,
Department of Transportation,Transit Infrastructure Grants,MA,City of Woburn,Anderson Regional Transit Center Pedestrian Bridge Project,"$500,000.00 ",Clark,
Department of Transportation,Transit Infrastructure Grants,MA,"Woods Hole, Martha’s Vineyard and Nantucket Steamship Authority",Steamship Authority Shuttle Bus Replacement,"$2,000,000.00 ",Keating,
Department of Transportation,Transit Infrastructure Grants,MD,Maryland Department of Transportation,Bowie State MARC Station Joint Development Project,"$250,000.00 ",Ivey,
Department of Transportation,Transit Infrastructure Grants,MD,Maryland Department of Transportation (MDOT) Maryland Transit Administration (MTA),West  Baltimore  MARC  Station  Replacement—Non-Amtrak  Funded Station Amenities,"$250,000.00 ",Mfume,
Department of Transportation,Transit Infrastructure Grants,MD,Montgomery County Department of Transportation,Georgia Avenue Bus Lanes,"$3,150,000.00 ",Raskin,
Department of Transportation,Transit Infrastructure Grants,MI,Oakland County,Oakland County Transit Fleet Expansion,"$2,000,000.00 ",Stevens,
Department of Transportation,Transit Infrastructure Grants,MO,"St. Louis County, MO",Operation  SmartStreet—Roadside  and  Vehicle  Equipment  Upgrades,"$1,200,000.00 ",Bell,
Department of Transportation,Transit Infrastructure Grants,NC,"Research Triangle Regional Public Transportation Authority, d/b/a GoTriangle",Triangle Mobility Hub,"$2,000,000.00 ",Foushee,
Department of Transportation,Transit Infrastructure Grants,NC,"Research Triangle Regional Public Transportation Authority, d/b/a GoTriangle",Triangle Mobility Hub,"$1,000,000.00 ",Ross,
Department of Transportation,Transit Infrastructure Grants,NJ,City of Long Branch,Elberon Station and Pedestrian Improvements,"$250,000.00 ",Pallone,
Department of Transportation,Transit Infrastructure Grants,NM,North Central Regional Transit District,"Chama, NM Transit Operations Facility","$750,000.00 ",Leger Fernandez,
Department of Transportation,Transit Infrastructure Grants,NV,Regional Transportation Commission of Southern Nevada,RTC Dual Direction Bus Shelters,"$250,000.00 ",Horsford,
Department of Transportation,Transit Infrastructure Grants,NV,City of Las Vegas,Vision Zero School Zone Safety Improvements,"$500,000.00 ",Horsford,
Department of Transportation,Transit Infrastructure Grants,NV,Regional Transportation Commission of Southern Nevada,Regional  Transportation  Commission  of  Southern  Nevada—Dual Direction Bus Shelters,"$250,000.00 ",Lee (NV),
Department of Transportation,Transit Infrastructure Grants,NV,Regional Transportation Commission of Southern Nevada,Dual Direction Bus Shelters,"$850,000.00 ",Titus,
Department of Transportation,Transit Infrastructure Grants,NY,New York State Metropolitan Transportation Authority,Interborough Express Light Rail Transit Project (IBX,"$850,000.00 ",Clarke,
Department of Transportation,Transit Infrastructure Grants,NY,New York State Metropolitan Transportation Authority,Long  Island  Rail  Road  Bellerose  ADA  Upgrade  and  Station  Renewal,"$250,000.00 ",Gillen,
Department of Transportation,Transit Infrastructure Grants,NY,Metropolitan Transportation Authority,Interborough  Express  Light  Rail  Transit  Project  (IBX)  Preliminary Engineering,"$250,000.00 ",Goldman,
Department of Transportation,Transit Infrastructure Grants,NY,Niagara Frontier Transportation Authority,NFTA Paratransit Vehicles,"$1,888,000.00 ",Kennedy (NY),
Department of Transportation,Transit Infrastructure Grants,NY,New York State Metropolitan Transportation Authority,179 Street Station Renewal (Queens Boulevard Line),"$500,000.00 ",Meeks,
Department of Transportation,Transit Infrastructure Grants,NY,Rochester Genesee Regional Transportation Authority,Rochester  Genesee  Regional  Transportation  Authority:  Hydrogen Fueler Boil Off Capture System,"$850,000.00 ",Morelle,
Department of Transportation,Transit Infrastructure Grants,NY,Roosevelt Island Operating Corporation (RIOC),Roosevelt Island Tram Modernization,"$250,000.00 ",Nadler,
Department of Transportation,Transit Infrastructure Grants,NY,New York City Metropolitan Transit Authority,Broadway Station ADA Upgrades,"$2,000,000.00 ",Ocasio-Cortez,
Department of Transportation,Transit Infrastructure Grants,OH,Central Ohio Transit Authority,COTA Paratransit and COTA//Plus Vehicles,"$250,000.00 ",Beatty,
Department of Transportation,Transit Infrastructure Grants,OH,Greater Cleveland Regional Transit Authority (GCRTA),GCRTA Light Rail Track Reconstruction Program,"$250,000.00 ",Brown,
Department of Transportation,Transit Infrastructure Grants,OH,Toledo Area Regional Transit Authority (TARTA),New State-of-the-Art TARTA Garage & Zero Emission Bus Transition,"$2,450,000.00 ",Kaptur,
Department of Transportation,Transit Infrastructure Grants,OR,Tri-County Metropolitan Transportation District of Oregon (TriMet),LIFT Vehicle Replacement Project,"$500,000.00 ",Bonamici,
Department of Transportation,Transit Infrastructure Grants,OR,Clackamas County,Mt. Hood Access to Transit,"$500,000.00 ",Dexter,
Department of Transportation,Transit Infrastructure Grants,OR,Tri-County Metropolitan Transportation District of Oregon (TriMet),Traffic Signal Efficiency Improvements,"$931,200.00 ",Dexter,
Department of Transportation,Transit Infrastructure Grants,TN,City of Cleveland,Relocation of the Cleveland Urban Area Transit System Depot,"$1,500,000.00 ",Fleischmann,
Department of Transportation,Transit Infrastructure Grants,TX,Corpus Christi Regional Transportation Authority,Architectural Services for CCRTA’s New Maintenance Facility,"$1,943,000.00 ",Cloud,
Department of Transportation,Transit Infrastructure Grants,TX,Dallas Area Rapid Transit,DART Ledbetter Light Rail Station Facility Modernization Project,"$250,000.00 ",Crockett,
Department of Transportation,Transit Infrastructure Grants,TX,Dallas Area Rapid Transit,Cityplace/Uptown  Station  Inclinator  Replacement  and  Modernization Project,"$850,000.00 ",Johnson (TX),
Department of Transportation,Transit Infrastructure Grants,TX,North Central Texas Council of Governments,City of Coppell,"$1,500,000.00 ",Van Duyne,
Department of Transportation,Transit Infrastructure Grants,TX,Fort Worth Transportation Authority,Bus Stop Improvements,"$2,000,000.00 ",Veasey,
Department of Transportation,Transit Infrastructure Grants,UT,Utah Transit Authority,Utah Transit Authority TRAX Light Rail Upgrade,"$5,000,000.00 ",Moore (UT),
Department of Transportation,Transit Infrastructure Grants,VA,Hampton Roads Transit,Hampton Roads Transit Paratransit Fleet,"$850,000.00 ",Scott (VA),
Department of Transportation,Transit Infrastructure Grants,WA,Community Transit,Swift Green Line Extension Southern Terminal Facility,"$2,000,000.00 ",DelBene,
Department of Transportation,Transit Infrastructure Grants,WA,Central Puget Sound Regional Transit Authority (‘‘Sound Transit’’),Link Reliability Improvements,"$850,000.00 ",Jayapal,
Department of Transportation,Transit Infrastructure Grants,WA,Washington State Department of Transportation,Seattle Ferry Terminal Shoreside Electrification,"$1,200,000.00 ",Jayapal,
Department of Transportation,Transit Infrastructure Grants,WA,Snohomish County Public Transportation Benefit Area Corporation,Bus Replacement Project,"$2,000,000.00 ",Larsen,
Department of Transportation,Transit Infrastructure Grants,WA,Washington State Ferries,Washington State Ferries Southworth Terminal Redevelopment,"$850,000.00 ",Randall,
Department of Transportation,Transit Infrastructure Grants,WI,Milwaukee County Department of Transportation,Bus Replacement project,"$1,000,000.00 ",Moore (WI),
Department of Transportation,Transit Infrastructure Grants,WI,City of Madison,City of Madison Metro Transit Safety Initiative,"$850,000.00 ",Pocan,
Department of Transportation,Port Infrastructure Development Program,AK,City of Homer,Homer Port FREIGHT: Critical Float System Replacement,"$250,000.00 ",Begich,
Department of Transportation,Port Infrastructure Development Program,AK,City of Ouzinkie,Modernization of Aged Boat Harbor,"$1,100,000.00 ",Begich,
Department of Transportation,Port Infrastructure Development Program,AK,Municipality of Anchorage,Port of Alaska Modernization Program Electric Substation,"$1,750,000.00 ",Begich,
Department of Transportation,Port Infrastructure Development Program,AK,City of Kodiak,St. Hermans Harbor Infrastructure,"$5,000,000.00 ",Begich,
Department of Transportation,Port Infrastructure Development Program,AL,Alabama State Port Authority,Facilities Modernization—Pier D2 Berth Completion,"$850,000.00 ",Figures,
Department of Transportation,Port Infrastructure Development Program,AL,Alabama State Port Authority,McDuffie Coal Terminal Modernization,"$2,000,000.00 ",Moore (AL),
Department of Transportation,Port Infrastructure Development Program,AS,American Samoa Department of Port Administration,Port of Pago Pago Reconstruction Initiative,"$1,000,000.00 ",Radewagen,
Department of Transportation,Port Infrastructure Development Program,CA,City of Monterey,Monterey Wharf Critical Repairs,"$1,920,000.00 ",Panetta,
Department of Transportation,Port Infrastructure Development Program,DE,Diamond State Port Corporation,Port Wilmington Infrastructure Improvement and Revitalization,"$250,000.00 ",McBride,
Department of Transportation,Port Infrastructure Development Program,FL,Miami-Dade County Seaport (PortMiami),Reefer Yard Expansion Project,"$5,000,000.00 ",Salazar,
Department of Transportation,Port Infrastructure Development Program,LA,Lake Providence Port Commission,Delta Link Louisiana Regional Ports Improvement Project,"$5,000,000.00 ",Letlow,
Department of Transportation,Port Infrastructure Development Program,MN,Duluth Seaway Port Authority,Gantry Crane Refurbishment Project,"$5,000,000.00 ",Stauber,
Department of Transportation,Port Infrastructure Development Program,MS,Yellow Creek State Inland Port Authority,Yellow Creek Port Wharf Reconstruction Project,"$4,000,000.00 ",Kelly (MS),
Department of Transportation,Port Infrastructure Development Program,NJ,South Jersey Port Corporation,High Mast Lighting for Expanded Cargo Storage,"$250,000.00 ",Norcross,
Department of Transportation,Port Infrastructure Development Program,NY,Erie County Industrial Development Agency,Buffalo Port Modernization Project,"$850,000.00 ",Kennedy (NY),
Department of Transportation,Port Infrastructure Development Program,OR,Port of Garibaldi,Engineering for Seawall Replacement,"$2,000,000.00 ",Bonamici,
Department of Transportation,Port Infrastructure Development Program,TX,"Port of Beaumont Navigation District of Jefferson County, Texas",Port of Beaumont Island Park Terminal Stabilization Project,"$5,000,000.00 ",Babin,
Department of Transportation,Port Infrastructure Development Program,WA,Port of Seattle,Pier 86 Grain Terminal Switcher Locomotive Replacement Project,"$250,000.00 ",Jayapal,
Department of Transportation,Port Infrastructure Development Program,WA,The Northwest Seaport Alliance,Northwest  Seaport  Alliance  Berth  Deepening  on  the  Blair  Waterway,"$2,000,000.00 ",Randall,
